ucc,multiplier,year,ucc_source
TOTALE,1,1998,G
FOODTO,1,1998,G
FOODHO,1,1998,G
CERBAK,1,1998,G
CEREAL,1,1998,G
010110,1,1998,D
010120,1,1998,D
010210,1,1998,D
010310,1,1998,D
010320,1,1998,D
BAKERY,1,1998,G
BREAD,1,1998,G
020110,1,1998,D
020210,1,1998,D
CRAKCO,1,1998,G
020510,1,1998,D
020610,1,1998,D
020810,1,1998,D
OTHBAK,1,1998,G
020310,1,1998,D
020410,1,1998,D
020620,1,1998,D
020710,1,1998,D
020820,1,1998,D
ANIMAL,1,1998,G
BEEF,1,1998,G
030110,1,1998,D
ROAST,1,1998,G
030210,1,1998,D
030310,1,1998,D
030410,1,1998,D
STEAK,1,1998,G
030510,1,1998,D
030610,1,1998,D
030710,1,1998,D
030810,1,1998,D
PORK,1,1998,G
040110,1,1998,D
040210,1,1998,D
HAM,1,1998,G
040310,1,1998,D
040610,1,1998,D
040510,1,1998,D
040410,1,1998,D
OTHRME,1,1998,G
050110,1,1998,D
LNCHME,1,1998,G
050210,1,1998,D
050310,1,1998,D
LAMBOT,1,1998,G
050410,1,1998,D
050900,1,1998,D
POULTR,1,1998,G
CHICKE,1,1998,G
060110,1,1998,D
060210,1,1998,D
060310,1,1998,D
FISHSE,1,1998,G
070110,1,1998,D
070230,1,1998,D
070240,1,1998,D
080110,1,1998,D
DAIRY,1,1998,G
MILKCR,1,1998,G
090110,1,1998,D
090210,1,1998,D
OTHDAI,1,1998,G
100110,1,1998,D
100210,1,1998,D
100410,1,1998,D
100510,1,1998,D
FRUITV,1,1998,G
FRSHFR,1,1998,G
110110,1,1998,D
110210,1,1998,D
110310,1,1998,D
110510,1,1998,D
110410,1,1998,D
FRESHV,1,1998,G
120110,1,1998,D
120210,1,1998,D
120310,1,1998,D
120410,1,1998,D
PROCFR,1,1998,G
FRZNFR,1,1998,G
130110,1,1998,D
130121,1,1998,D
130122,1,1998,D
130310,1,1998,D
130320,1,1998,D
130211,1,1998,D
130212,1,1998,D
PROCVE,1,1998,G
140110,1,1998,D
CANDVE,1,1998,G
140210,1,1998,D
140220,1,1998,D
140230,1,1998,D
140320,1,1998,D
140330,1,1998,D
140340,1,1998,D
140310,1,1998,D
140410,1,1998,D
140420,1,1998,D
OTHRFO,1,1998,G
SWEETS,1,1998,G
150110,1,1998,D
150211,1,1998,D
150212,1,1998,D
150310,1,1998,D
FATSOI,1,1998,G
160110,1,1998,D
160211,1,1998,D
160212,1,1998,D
160310,1,1998,D
160320,1,1998,D
MISCFO,1,1998,G
FRZNPR,1,1998,G
180210,1,1998,D
180220,1,1998,D
180110,1,1998,D
SNACKS,1,1998,G
180310,1,1998,D
180320,1,1998,D
CONDMN,1,1998,G
180410,1,1998,D
180420,1,1998,D
180510,1,1998,D
180520,1,1998,D
OTHRPR,1,1998,G
180611,1,1998,D
180612,1,1998,D
180620,1,1998,D
180710,1,1998,D
180720,1,1998,D
NALCBE,1,1998,G
170110,1,1998,D
170210,1,1998,D
COFFEE,1,1998,G
170310,1,1998,D
170410,1,1998,D
170510,1,1998,D
170520,1,1998,D
200112,1,1998,D
170530,1,1998,D
190904,1,1998,I
FOODAW,1,1998,G
RESTRA,1,1998,G
LUNCH,1,1998,G
190110,1,1998,D
190111,1,1998,D
190112,1,1998,D
190113,1,1998,D
190114,1,1998,D
DINNER,1,1998,G
190210,1,1998,D
190211,1,1998,D
190212,1,1998,D
190213,1,1998,D
190214,1,1998,D
SNKNAB,1,1998,G
190310,1,1998,D
190311,1,1998,D
190312,1,1998,D
190313,1,1998,D
190314,1,1998,D
BRKFBR,1,1998,G
190320,1,1998,D
190321,1,1998,D
190322,1,1998,D
190323,1,1998,D
190324,1,1998,D
190901,1,1998,I
190902,1,1998,I
190903,1,1998,I
790430,1,1998,I
800700,1,1998,I
ALCBEV,1,1998,G
ALCHOM,1,1998,G
200111,1,1998,D
200210,1,1998,D
200310,1,1998,D
200410,1,1998,D
ALCAWA,1,1998,G
BEERNA,1,1998,G
200510,1,1998,D
200511,1,1998,D
200512,1,1998,D
200513,1,1998,D
200516,1,1998,D
WINE,1,1998,G
200520,1,1998,D
200521,1,1998,D
200522,1,1998,D
200523,1,1998,D
200526,1,1998,D
OTHALC,1,1998,G
200530,1,1998,D
200531,1,1998,D
200532,1,1998,D
200533,1,1998,D
200536,1,1998,D
200900,1,1998,I
HOUSIN,1,1998,G
SHELTE,1,1998,G
OWNDWE,1,1998,G
OWNMOR,1,1998,G
220311,1,1998,I
220313,1,1998,I
880110,1,1998,I
220321,1,1998,I
220211,1,1998,I
OWNEXP,1,1998,G
OWNINS,1,1998,G
220111,1,1998,I
220121,1,1998,I
210901,1,1998,I
OWNREP,1,1998,G
230112,1,1998,I
230113,1,1998,I
230114,1,1998,I
230115,1,1998,I
230151,1,1998,I
230122,1,1998,I
230142,1,1998,I
OWNREP,1,1998,G
240112,1,1998,I
240122,1,1998,I
240312,1,1998,I
240322,1,1998,I
320622,1,1998,I
240213,1,1998,I
240212,1,1998,I
240222,1,1998,I
320632,1,1998,I
OWNMIS,1,1998,G
320612,1,1998,I
990930,1,1998,I
OWNMNA,1,1998,G
230901,1,1998,I
340911,1,1998,I
220901,1,1998,I
RNTDWE,1,1998,G
210110,1,1998,I
800710,1,1998,I
RNTEXP,1,1998,G
350110,1,1998,I
RNTREP,1,1998,G
230150,1,1998,I
230121,1,1998,I
230141,1,1998,I
RNTREP,1,1998,G
240111,1,1998,I
240121,1,1998,I
240211,1,1998,I
240221,1,1998,I
240311,1,1998,I
240321,1,1998,I
RNTMIS,1,1998,G
320611,1,1998,I
990910,1,1998,I
990920,1,1998,I
790690,1,1998,I
320621,1,1998,I
320631,1,1998,I
OTHLOD,1,1998,G
OWVHOM,1,1998,G
OWNVMO,1,1998,G
220312,1,1998,I
220314,1,1998,I
880310,1,1998,I
220322,1,1998,I
220212,1,1998,I
OWVEXP,1,1998,G
OWVINS,1,1998,G
220122,1,1998,I
220112,1,1998,I
210902,1,1998,I
OWVREP,1,1998,G
230152,1,1998,I
230123,1,1998,I
OWVREP,1,1998,G
240113,1,1998,I
240123,1,1998,I
240214,1,1998,I
240223,1,1998,I
240313,1,1998,I
240323,1,1998,I
OWVMIS,1,1998,G
320613,1,1998,I
990940,1,1998,I
320623,1,1998,I
320633,1,1998,I
OWVMNA,1,1998,G
230902,1,1998,I
340912,1,1998,I
220902,1,1998,I
210310,1,1998,I
210210,1,1998,I
UTILS,1,1998,G
NATRLG,1,1998,G
260211,1,1998,I
260212,1,1998,I
260213,1,1998,I
260214,1,1998,I
ELECTR,1,1998,G
260111,1,1998,I
260112,1,1998,I
260113,1,1998,I
260114,1,1998,I
OTHRFU,1,1998,G
FUELOI,1,1998,G
250111,1,1998,I
250112,1,1998,I
250113,1,1998,I
250114,1,1998,I
COAL,1,1998,G
250221,1,1998,I
250222,1,1998,I
250223,1,1998,I
250224,1,1998,I
BOTTLG,1,1998,G
250211,1,1998,I
250212,1,1998,I
250213,1,1998,I
250214,1,1998,I
WOOD,1,1998,G
250901,1,1998,I
250902,1,1998,I
250903,1,1998,I
250904,1,1998,I
PHONE,1,1998,G
270101,1,1998,I
270102,1,1998,I
WATER,1,1998,G
SEWER,1,1998,G
270211,1,1998,I
270212,1,1998,I
270213,1,1998,I
270214,1,1998,I
TRASH,1,1998,G
270411,1,1998,I
270412,1,1998,I
270413,1,1998,I
270414,1,1998,I
SEPTAN,1,1998,G
270901,1,1998,I
270902,1,1998,I
270903,1,1998,I
270904,1,1998,I
HHOPER,1,1998,G
HHPERS,1,1998,G
340211,1,1998,I
340212,1,1998,I
340906,1,1998,I
340910,1,1998,I
670310,1,1998,I
HHOTHX,1,1998,G
340310,1,1998,I
340410,1,1998,I
340420,1,1998,I
340520,1,1998,I
340530,1,1998,I
340914,1,1998,I
340903,1,1998,I
330511,1,1998,I
340510,1,1998,I
340620,1,1998,I
340630,1,1998,I
340901,1,1998,I
340907,1,1998,I
340908,1,1998,I
340913,1,1998,D
690113,1,1998,I
690114,1,1998,I
990900,1,1998,I
HKPGSU,1,1998,G
LAUNDR,1,1998,G
330110,1,1998,D
330210,1,1998,D
