indend_level,item_code,item_name,item_name_ri,item_code_cpi
6,SEFA01,Flour and prepared flour mixes,Flour and prepared flour mixes,SEFA01
6,SEFA02,Breakfast cereal,Breakfast cereal,SEFA02
6,SEFA03,"Rice, pasta, cornmeal","Rice, pasta, cornmeal",SEFA03
6,SEFB01,Bread,Bread,SEFB01
6,SEFB02,"Fresh biscuits, rolls, muffins","Fresh biscuits, rolls, muffins",SEFB02
6,SEFB03,"Cakes, cupcakes, and cookies","Cakes, cupcakes, and cookies",SEFB03
6,SEFB04,Other bakery products,Other bakery products,SEFB04
8,SEFC01,Uncooked ground beef,Uncooked ground beef,SEFC01
8,SEFC02,Uncooked beef roasts,Uncooked beef roasts,SEFC02
8,SEFC03,Uncooked beef steaks,Uncooked beef steaks,SEFC03
8,SEFC04,Uncooked other beef and veal,Uncooked other beef and veal,SEFC04
8,SEFD01,"Bacon, breakfast sausage, and related products","Bacon, breakfast sausage, and related products",SEFD01
8,SEFD02,Ham,Ham,SEFD02
8,SEFD03,Pork chops,Pork chops,SEFD03
8,SEFD04,Other pork including roasts and picnics,"Other pork including roasts, steaks, and ribs",SEFD04
7,SEFE01,Other meats,Other meats,SEFE
7,SEFF01,Chicken,Chicken,SEFF01
7,SEFF02,Other poultry including turkey,Other uncooked poultry including turkey,SEFF02
7,SEFG01,Fresh fish and seafood,Fresh fish and seafood,SEFG01
7,SEFG02,Processed fish and seafood,Processed fish and seafood,SEFG02
5,SEFH01,Eggs,Eggs,SEFH
5,SEFJ01,Milk,Milk,SEFJ01
5,SEFJ02,Cheese and related products,Cheese and related products,SEFJ02
5,SEFJ03,Ice cream and related products,Ice cream and related products,SEFJ03
5,SEFJ04,Other dairy and related products,Other dairy and related products,SEFJ04
7,SEFK01,Apples,Apples,SEFK01
7,SEFK02,Bananas,Bananas,SEFK02
7,SEFK03,Citrus fruits,Citrus fruits,SEFK03
7,SEFK04,Other fresh fruits,Other fresh fruits,SEFK04
7,SEFL01,Potatoes,Potatoes,SEFL01
7,SEFL02,Lettuce,Lettuce,SEFL02
7,SEFL03,Tomatoes,Tomatoes,SEFL03
7,SEFL04,Other fresh vegetables,Other fresh vegetables,SEFL04
6,SEFM01,Canned fruits and vegetables,Canned fruits and vegetables,SEFM01
6,SEFM02,Frozen fruits and vegetables,Frozen fruits and vegetables,SEFM02
6,SEFM03,Other processed fruits and vegetables including dried,Other processed fruits and vegetables including dried,SEFM03
6,SEFN01,Carbonated drinks,Carbonated drinks,SEFN01
6,SEFN02,Frozen noncarbonated juices and drinks,Frozen noncarbonated juices and drinks,SEFN02
6,SEFN03,Nonfrozen noncarbonated juices and drinks,Nonfrozen noncarbonated juices and drinks,SEFN03
6,SEFP01,Coffee,Coffee,SEFP01
6,SEFP02,Other beverage materials including tea,Other beverage materials including tea,SEFP02
6,SEFR01,Sugar and artificial sweeteners,Sugar and sugar substitutes,SEFR01
6,SEFR02,Candy and chewing gum,Candy and chewing gum,SEFR02
6,SEFR03,Other sweets,Other sweets,SEFR03
6,SEFS01,Butter and margarine,Butter and margarine,SEFS01
6,SEFS02,Salad dressing,Salad dressing,SEFS02
6,SEFS03,Other fats and oils including peanut butter,Other fats and oils including peanut butter,SEFS03
6,SEFT01,Soups,Soups,SEFT01
6,SEFT02,Frozen and freeze dried prepared foods,Frozen and freeze dried prepared foods,SEFT02
