ItemCode,ucc,wgt,yearquarter,int_diary,year,quarter,ucc_int
SEFA01,010110,1,19991,D,1999,1,10110
SEFA01,010120,1,19991,D,1999,1,10120
SEFA02,010210,1,19991,D,1999,1,10210
SEFA03,010310,1,19991,D,1999,1,10310
SEFA03,010320,1,19991,D,1999,1,10320
SEFB01,020110,1,19991,D,1999,1,20110
SEFB01,020210,1,19991,D,1999,1,20210
SEFB02,020310,1,19991,D,1999,1,20310
SEFB03,020410,1,19991,D,1999,1,20410
SEFB03,020510,1,19991,D,1999,1,20510
SEFB04,020610,1,19991,D,1999,1,20610
SEFB04,020620,1,19991,D,1999,1,20620
SEFB04,020710,1,19991,D,1999,1,20710
SEFB04,020810,1,19991,D,1999,1,20810
SEFB04,020820,1,19991,D,1999,1,20820
SEFC01,030110,1,19991,D,1999,1,30110
SEFC02,030210,1,19991,D,1999,1,30210
SEFC02,030310,1,19991,D,1999,1,30310
SEFC02,030410,1,19991,D,1999,1,30410
SEFC03,030510,1,19991,D,1999,1,30510
SEFC03,030610,1,19991,D,1999,1,30610
SEFC03,030710,1,19991,D,1999,1,30710
SEFC04,030810,1,19991,D,1999,1,30810
SEFD01,040110,1,19991,D,1999,1,40110
SEFD03,040210,1,19991,D,1999,1,40210
SEFD02,040310,1,19991,D,1999,1,40310
SEFD04,040410,1,19991,D,1999,1,40410
SEFD01,040510,1,19991,D,1999,1,40510
SEFD02,040610,1,19991,D,1999,1,40610
SEFE01,050110,1,19991,D,1999,1,50110
SEFE01,050210,1,19991,D,1999,1,50210
SEFE01,050310,1,19991,D,1999,1,50310
SEFE01,050410,1,19991,D,1999,1,50410
SEFE01,050900,1,19991,D,1999,1,50900
SEFF01,060110,1,19991,D,1999,1,60110
SEFF01,060210,1,19991,D,1999,1,60210
SEFF02,060310,1,19991,D,1999,1,60310
SEFG02,070110,1,19991,D,1999,1,70110
SEFG01,070230,1,19991,D,1999,1,70230
SEFG02,070240,1,19991,D,1999,1,70240
SEFH01,080110,1,19991,D,1999,1,80110
SEFJ01,090110,1,19991,D,1999,1,90110
SEFJ04,090210,1,19991,D,1999,1,90210
SEFS01,100110,1,19991,D,1999,1,100110
SEFJ02,100210,1,19991,D,1999,1,100210
SEFJ03,100410,1,19991,D,1999,1,100410
SEFJ04,100510,1,19991,D,1999,1,100510
SEFK01,110110,1,19991,D,1999,1,110110
SEFK02,110210,1,19991,D,1999,1,110210
