Level 1, 8 product categories;Level 1, 8 product categories;Level_1;Level_2_5;Level 4, 204 item strata;Item_codes;Ucc_codes;CPI  Weight (probably 2013)
Housing;Alcoholic beverages;Commodities less food and energy commodities;Alcoholic beverages;Beer, ale, and other malt beverages at home;SEFW01;;
Transportation;Alcoholic beverages;Commodities less food and energy commodities;Alcoholic beverages;Wine at home;SEFW03;;
Food and beverages;Alcoholic beverages;Commodities less food and energy commodities;Alcoholic beverages;Distilled spirits at home;SEFW02;;
Medical care;Alcoholic beverages;Commodities less food and energy commodities;Alcoholic beverages;Alcoholic beverages away from home;SEFX01;;
Education and communication;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Major appliances;SEHK01;;
Recreation;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Other appliances;SEHK02;;
Apparel;Household furnishings and supplies;Commodities less food and energy commodities;Household furnishings and supplies;Unsampled appliances;SEHK09;;
Other goods and services;Nonalcoholic beverages and beverage materials;Food at home;Nonalcoholic beverages and beverage materials;Coffee;SEFP01;;
;Nonalcoholic beverages and beverage materials;Food at home;Nonalcoholic beverages and beverage materials;Other beverage materials including tea;SEFP02;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Breakfast cereal;SEFA02;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Other bakery products;SEFB04;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Bread;SEFB01;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Cakes, cupcakes, and cookies;SEFB03;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Rice, pasta, cornmeal;SEFA03;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Fresh biscuits, rolls, muffins;SEFB02;;
;Cereals and bakery products;Food at home;Cereals and bakery products;Flour and prepared flour mixes;SEFA01;;
;Dairy and related products;Food at home;Dairy and related products;Cheese and related products;SEFJ02;;
;Shelter;Education and communication services;Education and communication services;College tuition and fees;SEEB01;;
;Shelter;Education and communication services;Education and communication services;Wireless telephone services;SEED03;;
